seed,n_qubits,depth_param,circuit_depth,n_cx,n_single_qubit_gates,total_gates,cx_density,noisy_expectation,zne_expectation,fold1,fold3,fold5,ideal_expectation
172,3,7,21,14,21,35,0.4,0.554,0.6013888888888892,0.554,0.42866666666666664,0.34,0.6496536708795146
173,3,7,21,14,21,35,0.4,0.30933333333333335,0.3335000000000001,0.30933333333333335,0.256,0.20866666666666667,0.3387763525634241
174,3,7,21,14,21,35,0.4,-0.7206666666666667,-0.7902777777777783,-0.7206666666666667,-0.552,-0.4186666666666667,-0.8567831840350386
175,3,7,21,14,21,35,0.4,-0.14133333333333334,-0.1495555555555556,-0.14133333333333334,-0.11933333333333333,-0.104,-0.15121035470666122
176,3,7,21,14,21,35,0.4,-0.29533333333333334,-0.33,-0.29533333333333334,-0.20266666666666666,-0.138,-0.3543235936733335
177,3,7,21,14,21,35,0.4,0.4,0.39994444444444444,0.4,0.40066666666666667,0.40066666666666667,0.42298750779794375
178,3,7,21,14,21,35,0.4,-0.014,-0.01961111111111112,-0.014,0.0,0.010666666666666666,-0.025588358580107412
179,3,7,21,14,21,35,0.4,0.13266666666666665,0.14150000000000004,0.13266666666666665,0.11666666666666667,0.09866666666666667,0.13506540227618374
180,3,8,24,16,24,40,0.4,-0.45666666666666667,-0.518777777777778,-0.45666666666666667,-0.288,-0.17266666666666666,-0.5935846608319105
181,3,8,24,16,24,40,0.4,0.23133333333333334,0.2517777777777779,0.23133333333333334,0.186,0.146,0.28213152457890117
182,3,8,24,16,24,40,0.4,-0.136,-0.1506111111111112,-0.136,-0.10066666666666667,-0.07266666666666667,-0.1323731845931458
183,3,8,24,16,24,40,0.4,-0.012666666666666666,-0.012611111111111115,-0.012666666666666666,-0.013333333333333334,-0.013333333333333334,0.003960772028042514
184,3,8,24,16,24,40,0.4,-0.028666666666666667,-0.04600000000000003,-0.028666666666666667,0.0026666666666666666,0.038,-0.06362124341983172
185,3,8,24,16,24,40,0.4,-0.4093333333333333,-0.4688333333333334,-0.4093333333333333,-0.24866666666666667,-0.138,-0.5472343047370215
186,3,8,24,16,24,40,0.4,-0.25933333333333336,-0.3038333333333335,-0.25933333333333336,-0.18533333333333332,-0.09333333333333334,-0.2954798469129817
187,3,8,24,16,24,40,0.4,0.274,0.30177777777777787,0.274,0.20066666666666666,0.14866666666666667,0.30695773419243444
188,3,8,24,16,24,40,0.4,-0.14666666666666667,-0.17011111111111116,-0.14666666666666667,-0.08533333333333333,-0.04133333333333333,-0.1915335614846947
189,3,8,24,16,24,40,0.4,0.03,0.03100000000000001,0.03,0.024666666666666667,0.023333333333333334,0.03598891441455823
190,3,8,24,16,24,40,0.4,0.20533333333333334,0.21183333333333337,0.20533333333333334,0.18733333333333332,0.17533333333333334,0.1750182381085434
191,3,8,24,16,24,40,0.4,0.012666666666666666,0.022833333333333348,0.012666666666666666,-0.016,-0.034666666666666665,0.05082558128543534
192,4,1,4,3,4,7,0.42857142857142855,0.9593333333333334,0.9630000000000003,0.9593333333333334,0.9486666666666667,0.942,1.0000000000000002
193,4,1,4,3,4,7,0.42857142857142855,0.008666666666666666,0.003666666666666669,0.008666666666666666,0.022,0.03133333333333333,-0.011665209254896947
